,News Organization,Date,Tweets Ago,Tweet,Compound,Positive,Neutral,Negative
21,@BBCWorld,Mon Sep 17 09:18:50 +0000 2018,21,Carrie Underwood: 'I suffered three miscarriages in the last two years' https://t.co/3XKoAAeGSG,-0.4939,0.0,0.775,0.225
22,@BBCWorld,Mon Sep 17 09:18:42 +0000 2018,22,"RT @BBCBreaking: International Monetary Fund warns no-deal #Brexit would inflict ""substantial costs"" on the UK economy https://t.co/qBkhE35…",0.1027,0.099,0.824,0.077
23,@BBCWorld,Mon Sep 17 09:00:55 +0000 2018,23,Egyptian archaeologists find sphinx at Aswan temple https://t.co/63HTf5adGo,0.0,0.0,1.0,0.0
24,@BBCWorld,Mon Sep 17 08:58:19 +0000 2018,24,"RT @BBCNews: Texting at the dinner table? 😠
Phone in the cinema? 😡
Loud music on the train? 🤯
https://t.co/QGLX9CrSe2",0.0,0.0,1.0,0.0
25,@BBCWorld,Mon Sep 17 07:33:25 +0000 2018,25,"RT @SallyBundockBBC: In New York it's reported the ""power lunch"" is back so we are asking what is your experience? Do you go for lunch? Do…",0.0,0.0,1.0,0.0
26,@BBCWorld,Mon Sep 17 04:48:25 +0000 2018,26,Storm Florence: Heavy flooding 'cuts off' North Carolina city https://t.co/sg3N3aYKgl,-0.296,0.0,0.804,0.196
27,@BBCWorld,Mon Sep 17 02:15:33 +0000 2018,27,Strawberry needle scare: Australia probe as 'vicious crime' widens https://t.co/75FyKQqAOX,-0.8481,0.0,0.432,0.568
28,@BBCWorld,Mon Sep 17 00:18:45 +0000 2018,28,Typhoon Mangkhut: South China hunkers down for deadly storm https://t.co/vJO07yKZne,0.0,0.0,1.0,0.0
29,@BBCWorld,Mon Sep 17 00:03:39 +0000 2018,29,Why three South African firefighters died from lack of water https://t.co/21NeTAI4xS,-0.7096,0.0,0.604,0.396
30,@BBCWorld,Sun Sep 16 23:22:03 +0000 2018,30,Four things to know for the week ahead https://t.co/TU7C53AEWv,0.0,0.0,1.0,0.0
31,@BBCWorld,Sun Sep 16 22:03:55 +0000 2018,31,Sri Lanka war: I wanted 'my side' to lose https://t.co/EAAbm4jnbX,-0.765,0.0,0.515,0.485
32,@BBCWorld,Sun Sep 16 19:18:32 +0000 2018,32,US top judge accuser reveals ordeal https://t.co/fhvvmltcG2,0.2023,0.231,0.769,0.0
33,@BBCWorld,Sun Sep 16 18:01:48 +0000 2018,33,German treehouse protest dismantled by police https://t.co/KFfXGR3pjp,-0.25,0.0,0.75,0.25
34,@BBCWorld,Sun Sep 16 16:54:37 +0000 2018,34,"RT @BBCNewsbeat: The singer's fashion show featured pregnant models and women from differences races and with a variety of body shapes

htt…",0.0,0.0,1.0,0.0
35,@BBCWorld,Sun Sep 16 15:40:06 +0000 2018,35,"RT @BBCNews: Amazing Grace is 112 today 👏👏👏

For the first time she will get to blow out the candles on her birthday cake as the UK's oldes…",0.765,0.202,0.798,0.0
36,@BBCWorld,Sun Sep 16 15:25:47 +0000 2018,36,Massachusetts gas-blast: Residents allowed home after fires and explosions https://t.co/S9vr5BMc5t,0.0,0.0,1.0,0.0
37,@BBCWorld,Sun Sep 16 14:26:33 +0000 2018,37,Macron tells young jobseeker: 'I can find you a job by crossing the road' https://t.co/OpgJCUEXOP,0.0,0.0,1.0,0.0
38,@BBCWorld,Sun Sep 16 14:21:19 +0000 2018,38,"RT @BBCSteveR: I’ve played so much Russian music this week, it’s having a bizarre effect on everything I play. Here’s the famous theme tune…",0.3612,0.184,0.728,0.088
39,@BBCWorld,Sun Sep 16 14:07:19 +0000 2018,39,"RT @bbcf1: Lewis Hamilton wins in Singapore!

It's second for Max Verstappen and third for Sebastian Vettel.

Join the reaction here 👉 http…",0.7345,0.236,0.764,0.0
40,@BBCWorld,Sun Sep 16 14:07:18 +0000 2018,40,"Typhoon Mangkhut wreaks havoc on Philippine town 

The BBC's @Howardrjohnson revisits Aparri to take a look at the… https://t.co/yWyTA31zTW",-0.5994,0.0,0.813,0.187
41,@BBCWorld,Sun Sep 16 13:38:58 +0000 2018,41,Germany migrants: Police investigate attacks on migrants https://t.co/BUYc2dKmU3,-0.4404,0.0,0.707,0.293
42,@BBCWorld,Sun Sep 16 13:07:20 +0000 2018,42,RT @BBCSport: We ❤️ Vera! https://t.co/4jTELqBPBv,0.0,0.0,1.0,0.0
43,@BBCWorld,Sun Sep 16 12:07:53 +0000 2018,43,"Storm Florence: Worst still to come, authorities warn https://t.co/tnyYF4JKF4",-0.6705,0.0,0.56,0.44
44,@BBCWorld,Sun Sep 16 11:51:54 +0000 2018,44,Sydney's Defqon 1 music festival: Authorities call for ban after two 'drugs deaths' https://t.co/vr4Ueibkuq,-0.1027,0.18,0.618,0.202
45,@BBCWorld,Sun Sep 16 11:17:00 +0000 2018,45,Garda Commissioner Drew Harris condemns threats to officer https://t.co/FkEZkxJwCS,-0.7269,0.0,0.534,0.466
46,@BBCWorld,Sun Sep 16 11:16:11 +0000 2018,46,"RT @bbcworldservice: In parts of Nevada, prostitution is legal - the only such state in the US. But this could be about to change.

More he…",0.128,0.059,0.941,0.0
47,@BBCWorld,Sun Sep 16 10:22:02 +0000 2018,47,"RT @BBCPolitics: “A future PM could always choose to alter the relationship between Britain  and the EU,” says @michaelgove “but the Cheque…",0.0,0.0,1.0,0.0
48,@BBCWorld,Sun Sep 16 10:21:52 +0000 2018,48,RT @BBCPolitics: “The British public should have a say on the outcome of the negotiations” - London Mayor @SadiqKhan calls for second #Brex…,0.0,0.0,1.0,0.0
49,@BBCWorld,Sun Sep 16 10:21:39 +0000 2018,49,RT @BBCPolitics: Environment Secretary @michaelgove talks about Hungarian PM Viktor Orban and the Conservative party #marr https://t.co/2Vj…,0.4019,0.144,0.856,0.0
50,@BBCWorld,Sun Sep 16 09:51:32 +0000 2018,50,RT @BBCPolitics: Author @realBobWoodward makes parallels to President Donald Trump's Russian collusion allegations and former President Ric…,0.0,0.0,1.0,0.0
51,@BBCWorld,Sun Sep 16 09:32:29 +0000 2018,51,Sinn Féin to announce Liadh Ní Riada as presidential candidate https://t.co/TFQQIyOCjg,0.0,0.0,1.0,0.0
52,@BBCWorld,Sun Sep 16 08:12:32 +0000 2018,52,"RT @BBCSteveR: My #RussianMusicWeek ends with ""Only Once"" by Russian composer Boris Fomin (1900-1948). Fomin was arrested in Stalin’s Great…",-0.4767,0.0,0.86,0.14
53,@BBCWorld,Sun Sep 16 07:22:59 +0000 2018,53,Typhoon Mangkhut: Deadly typhoon takes aim at south China https://t.co/2dXeY7TPXM,0.0,0.0,1.0,0.0
54,@BBCWorld,Sun Sep 16 04:15:33 +0000 2018,54,Pussy Riot's Pyotr Verzilov flown to Germany for treatment https://t.co/JYjRHyQ7bb,0.0,0.0,1.0,0.0
55,@BBCWorld,Sun Sep 16 03:34:50 +0000 2018,55,Storm Florence: 'Epic' amounts of rain unloaded on Carolinas https://t.co/DPePpCrQBr,0.0,0.0,1.0,0.0
56,@BBCWorld,Sun Sep 16 01:20:54 +0000 2018,56,Caribbean Rum resurgence: 'Hellish liquor' to premium product https://t.co/c4c2CYMO8h,-0.6369,0.0,0.656,0.344
57,@BBCWorld,Sun Sep 16 01:10:42 +0000 2018,57,Chinese gambling boom looms over Cambodia's Kampot https://t.co/BA8lRuQK1q,-0.1531,0.0,0.814,0.186
58,@BBCWorld,Sun Sep 16 00:59:18 +0000 2018,58,Deadly 'shark attack' at Massachusetts beach https://t.co/ohzPfGNaq9,-0.4767,0.0,0.659,0.341
59,@BBCWorld,Sun Sep 16 00:43:33 +0000 2018,59,Reality Check: Can ambulances park on yellow lines? https://t.co/9u6enUIUzS,0.0,0.0,1.0,0.0
60,@BBCWorld,Sun Sep 16 00:27:25 +0000 2018,60,Serbia Pride: Gay PM Brnabic 'not wanted' at parade https://t.co/ar3LNFQnrZ,0.34,0.211,0.789,0.0
61,@BBCWorld,Sat Sep 15 23:54:57 +0000 2018,61,Typhoon Mangkhut: Philippines counts cost of deadly typhoon https://t.co/HVfgf9GNy8,0.0,0.0,1.0,0.0
62,@BBCWorld,Sat Sep 15 23:17:35 +0000 2018,62,Uzbekistan: Land of a thousand shrines https://t.co/djmWKrpf0Z,0.0,0.0,1.0,0.0
63,@BBCWorld,Sat Sep 15 21:28:44 +0000 2018,63,US 'serial killer' border agent arrested in Texas https://t.co/qDfwBAOqUA,-0.8126,0.0,0.486,0.514
64,@BBCWorld,Sat Sep 15 20:28:47 +0000 2018,64,Spanish-speaking Taco Bell worker fired for refusing English-speaker https://t.co/TpmJIssQWa,-0.743,0.0,0.526,0.474
65,@BBCWorld,Sat Sep 15 17:36:32 +0000 2018,65,"Typhoon Mangkhut: Surviving the night in Tuguegarao #OmpongPH

https://t.co/POmJoQZXU1",0.296,0.216,0.784,0.0
66,@BBCWorld,Sat Sep 15 17:35:33 +0000 2018,66,RT @bbcweather: Forecast: Twin storms Florence and Mangkhut will bring further rain and strong winds. https://t.co/Oe2EVJc4bK https://t.co/…,0.5106,0.171,0.829,0.0
67,@BBCWorld,Sat Sep 15 17:05:12 +0000 2018,67,"Typhoon Mangkhut causes flooding and landslides in the Philippines 

At least 14 people have been killed in the mas… https://t.co/qE5pUoTYMk",-0.6705,0.0,0.809,0.191
68,@BBCWorld,Sat Sep 15 16:45:27 +0000 2018,68,Egypt arrests ex-President Mubarak's sons for embezzlement https://t.co/0e4RmGSDbO,-0.4404,0.0,0.707,0.293
69,@BBCWorld,Sat Sep 15 16:12:16 +0000 2018,69,US Coast Guard employee removed for 'white power sign' on air https://t.co/ADM5RYEMKO,0.0,0.0,1.0,0.0
70,@BBCWorld,Sat Sep 15 15:56:48 +0000 2018,70,"RT @BBCSteveR: Oh, the glamorous life of a foreign correspondent. In my Siberian hotel room this week, instead of a shower, there was a “bo…",0.5106,0.136,0.864,0.0
71,@BBCWorld,Sat Sep 15 15:54:36 +0000 2018,71,#TropicalStormFlorence: The impact in numbers https://t.co/n7Cg7gynA2,0.0,0.0,1.0,0.0
72,@BBCWorld,Sat Sep 15 15:41:11 +0000 2018,72,"RT @bbcworldservice: Bye, bye, Beetle! https://t.co/WT1W4sh6sV",0.0,0.0,1.0,0.0
73,@BBCWorld,Sat Sep 15 15:36:26 +0000 2018,73,Kemi Adeosun: Nigeria minister resigns over forged certificate https://t.co/vgG48Q8Ut0,-0.3182,0.0,0.777,0.223
74,@BBCWorld,Sat Sep 15 15:35:17 +0000 2018,74,"#TropicalStormFlorence: Seven dead as @FEMA warns of ""catastrophic flooding"" to come https://t.co/BJkEXE5ABl",-0.836,0.0,0.503,0.497
75,@BBCWorld,Sat Sep 15 15:07:17 +0000 2018,75,"This Finnish choir don't sing a note, but they're a scream to watch

[tap to expand]

https://t.co/SedEkfcyCi https://t.co/VOkw87Kq2M",-0.5499,0.0,0.809,0.191
76,@BBCWorld,Sat Sep 15 14:15:25 +0000 2018,76,"RT @BBCSteveR: Check out the giant columns of tanks &amp; APCs at Russia's Vostok manoeuvres: pure muscle-flexing by Moscow. Plus, joint drills…",0.0,0.0,1.0,0.0
77,@BBCWorld,Sat Sep 15 14:06:36 +0000 2018,77,In pictures: Typhoon Mangkhut rips through Philippines https://t.co/VOWmA3foT4,0.0,0.0,1.0,0.0
78,@BBCWorld,Sat Sep 15 13:53:03 +0000 2018,78,"'World's oldest brewery' found in cave in Israel, say researchers https://t.co/O0kzhSLE43",0.0,0.0,1.0,0.0
79,@BBCWorld,Sat Sep 15 13:38:15 +0000 2018,79,"Tropical Storm #Florence ""will produce catastrophic flooding""

@FEMA warns parts of North Carolina could see anothe… https://t.co/3UtF911JJB",-0.5574,0.0,0.765,0.235
80,@BBCWorld,Sat Sep 15 13:12:18 +0000 2018,80,"Blast off! 

@NASA's #ICESat2 is launched on its mission to measure the condition of Earth's ice cover from space… https://t.co/3CNXJX1ruA",0.2003,0.086,0.914,0.0
81,@BBCWorld,Sat Sep 15 11:55:05 +0000 2018,81,RT @bbcweather: This satellite picture shows Typhoon Mangkhut as it approached the Phillipines. The storm is over 550 miles wide. https://t…,0.0,0.0,1.0,0.0
82,@BBCWorld,Sat Sep 15 10:37:37 +0000 2018,82,RT @danroan: Exclusive: Wada secretly suggested compromise to Russians in June to bring end to anti-doping agency ban https://t.co/StEMkc93…,-0.4767,0.068,0.769,0.163
83,@BBCWorld,Sat Sep 15 10:20:36 +0000 2018,83,RT @BBCNews: ICESat: Space laser to get unprecedented view of Earth's ice 🌎https://t.co/tg27lOT9Yt,0.0,0.0,1.0,0.0
84,@BBCWorld,Sat Sep 15 10:16:51 +0000 2018,84,Pope Francis pays homage to Sicilian anti-mafia priest https://t.co/kh188n0m5j,0.0,0.0,1.0,0.0
85,@BBCWorld,Sat Sep 15 10:16:16 +0000 2018,85,RT @bbcworldservice: Could this be what the world's oldest drawing looks like? https://t.co/wgIvXp4lt8,0.3612,0.172,0.828,0.0
86,@BBCWorld,Sat Sep 15 10:04:50 +0000 2018,86,RT @bbcthree: This is truly magical: Sue and her underwater wheelchair. https://t.co/CRXs4SlmvL,0.4404,0.209,0.791,0.0
87,@BBCWorld,Sat Sep 15 10:04:06 +0000 2018,87,"The world's strongest storm this year, Super #Typhoon Mangkhut, hits the Philippines

https://t.co/KSPr5Y289c https://t.co/Ti8e5O0S5Z",0.7783,0.362,0.638,0.0
88,@BBCWorld,Sat Sep 15 09:57:25 +0000 2018,88,RT @danroan: Revealed: how WADA’s leadership quietly compromised &amp; changed the roadmap for Russian re-compliance back in June. Letter purpo…,0.0,0.0,1.0,0.0
89,@BBCWorld,Sat Sep 15 09:47:39 +0000 2018,89,"RT @bbcweather: Even though Florence has been downgraded to a tropical storm, it is still forecast to bring another 15-20 inches of rain ov…",0.0,0.0,1.0,0.0
90,@BBCWorld,Sat Sep 15 09:25:34 +0000 2018,90,Victoire Ingabire: Rwanda to free jailed opposition leader https://t.co/JAwAfwB28x,0.0258,0.244,0.519,0.237
91,@BBCWorld,Sat Sep 15 09:22:32 +0000 2018,91,"Storm #Florence: Warnings of 'catastrophic' flash flooding

https://t.co/Da1ccSxFU0 https://t.co/fTW2nXZYAc",-0.296,0.0,0.784,0.216
92,@BBCWorld,Sat Sep 15 09:04:10 +0000 2018,92,In pictures: Hurricane #Florence strikes the eastern US https://t.co/zdLMOstnBy,-0.3612,0.0,0.762,0.238
93,@BBCWorld,Sat Sep 15 09:01:08 +0000 2018,93,".@ArianaGrande pays tribute after death of ex-boyfriend @MacMiller, calling him her ""dearest friend"" and the ""kinde… https://t.co/QR8ymbR8Bz",0.4404,0.275,0.567,0.158
94,@BBCWorld,Sat Sep 15 08:45:02 +0000 2018,94,"First deaths confirmed after #TyphoonMangkhut battered the Philippines

https://t.co/7grTlnQcf8 https://t.co/x8zedU7waB",0.0,0.0,1.0,0.0
95,@BBCWorld,Sat Sep 15 08:37:02 +0000 2018,95,Prickly cactus species 'under threat' https://t.co/9Pwyy15e3m,-0.6486,0.0,0.43,0.57
96,@BBCWorld,Sat Sep 15 08:26:36 +0000 2018,96,"RT @BBCSport: Claims made by Moeen Ali that an Australian player called him 'Osama' during the 2015 Ashes are being investigated. 

Read: h…",0.0,0.0,1.0,0.0
97,@BBCWorld,Sat Sep 15 08:22:54 +0000 2018,97,"RT @bbcweather: Q: What's the difference between a hurricane, typhoon and cyclone? 
(Clue: You may need an atlas.)
https://t.co/ll8x5zDlbt",0.0,0.0,1.0,0.0
98,@BBCWorld,Sat Sep 15 08:21:27 +0000 2018,98,Why Uganda is the 'world's fittest country' https://t.co/wss54qobcP,0.0,0.0,1.0,0.0
99,@BBCWorld,Sat Sep 15 08:19:39 +0000 2018,99,"'It's Prince, thinking aloud on the piano' https://t.co/e8cstyt3NY",0.0,0.0,1.0,0.0
100,@CBSNews,Mon Sep 17 16:16:48 +0000 2018,0,"Gov. Cooper thanks first responders, North Carolinians and the media: ""We've been preparing for and living through… https://t.co/kVWZBQllmJ",0.4404,0.146,0.854,0.0
101,@CBSNews,Mon Sep 17 16:14:51 +0000 2018,1,"Kavanaugh denies accuser's allegation, says he will ""refute"" it before Senate Judiciary Committee… https://t.co/TsXYazg6LR",-0.4215,0.0,0.823,0.177
102,@CBSNews,Mon Sep 17 16:13:35 +0000 2018,2,"23 truckloads of food, water and supplies made it into Wilmington this morning. Other communities are being address… https://t.co/4U5hQsQ97S",0.0,0.0,1.0,0.0
103,@CBSNews,Mon Sep 17 16:11:59 +0000 2018,3,"NC Governor:
- 1,200 road closures, including 356 primary roads 
- More than 484,000 people in North Carolina witho… https://t.co/XBNqdPcCRh",0.0,0.0,1.0,0.0
104,@CBSNews,Mon Sep 17 16:09:52 +0000 2018,4,"Gov. Cooper: As of this morning, North Carolina has 17 confirmed deaths due to this storm. We mourn the loss of eac… https://t.co/tI6DoVP69J",-0.6249,0.0,0.805,0.195
105,@CBSNews,Mon Sep 17 16:09:18 +0000 2018,5,WATCH: North Carolina Governor Roy Cooper is giving an update in the aftermath of Florence https://t.co/b5rwLjv2K9 https://t.co/XmAqTum2Nr,0.34,0.13,0.87,0.0
106,@CBSNews,Mon Sep 17 16:00:29 +0000 2018,6,CIRCUS CHAOS: Disturbing video shows an unruly camel charge toward the audience at a Pittsburgh circus as a woman c… https://t.co/byrG2RTs4t,-0.8286,0.0,0.687,0.313
107,@CBSNews,Mon Sep 17 15:45:30 +0000 2018,7,HURRICANE BABIES: This military couple from North Carolina just gave birth to twin daughters while evacuating Hurri… https://t.co/8KQs2lyHZI,0.0,0.0,1.0,0.0
108,@CBSNews,Mon Sep 17 15:30:00 +0000 2018,8,Multiple cars reportedly on fire in Brooklyn parking garage https://t.co/BzwA93xib0 https://t.co/ENGrFp8t4U,-0.34,0.0,0.806,0.194
109,@CBSNews,Mon Sep 17 15:14:41 +0000 2018,9,"The whiter the neighborhood, the greater the penalty black renters pay https://t.co/lnHVHXsF56 https://t.co/fdPxdybhhs",-0.2263,0.148,0.592,0.26
110,@CBSNews,Mon Sep 17 15:00:06 +0000 2018,10,"TURN AROUND DON'T DROWN: This driver in Wilmington, NC, tried to plow through floodwaters and soon learned the only… https://t.co/aLBXtHMrDY",-0.6633,0.0,0.811,0.189
111,@CBSNews,Mon Sep 17 14:44:47 +0000 2018,11,No flood insurance? You can still get help https://t.co/UNNk1ArEal https://t.co/PhFcAAqYiT,0.128,0.209,0.62,0.171
112,@CBSNews,Mon Sep 17 14:16:42 +0000 2018,12,"""She should not be insulted. She should not be ignored."" Kellyanne Conway says woman who accuses Supreme Court nomi… https://t.co/3qTy8bEY4g",0.5996,0.245,0.661,0.093
113,@CBSNews,Mon Sep 17 14:00:43 +0000 2018,13,"""I shouldn't be out there anymore."" Buffalo Bills defensive back Vontae Davis shocked his team and sports fans afte… https://t.co/ImVwLyWtdX",-0.296,0.051,0.841,0.107
114,@CBSNews,Mon Sep 17 13:45:46 +0000 2018,14,"DOG RESCUE: 10 beagles were saved from the rising floodwaters in North Carolina, and the Coast Guard says if they g… https://t.co/9snu8nIkZo",0.7804,0.255,0.745,0.0
115,@CBSNews,Mon Sep 17 13:30:51 +0000 2018,15,"California teen finds purse with $10,000 inside, turns it in to police https://t.co/YkO3uW0DCh https://t.co/YnRhKQTDje",0.0,0.0,1.0,0.0
116,@CBSNews,Mon Sep 17 13:14:35 +0000 2018,16,President Trump's eldest son Donald Trump Jr. appeared to make light of new details of allegations of sexual assaul… https://t.co/drfmzCptYA,0.0,0.0,1.0,0.0
117,@CBSNews,Mon Sep 17 12:55:37 +0000 2018,17,"""He was screaming and then I saw, like, a shark tail"": Friend describes frantic attempt to save shark attack victim… https://t.co/ohHNB55kEM",0.0772,0.292,0.426,0.282
118,@CBSNews,Mon Sep 17 12:50:02 +0000 2018,18,"RT @CBSThisMorning: ""Water has been a huge part of my life whether i'm in the pool or out of the pool so it's something that's really impor…",0.3182,0.084,0.916,0.0
119,@CBSNews,Mon Sep 17 12:46:37 +0000 2018,19,"RT @CBSThisMorning: U.S. swimmer @michaelphelps is the most decorated Olympian in history. After a career in the pool, Phelps is now a glob…",0.0,0.0,1.0,0.0
120,@CBSNews,Mon Sep 17 12:44:39 +0000 2018,20,RT @CBSThisMorning: One military couple escaped from Florence just before giving birth. Danielle DiGregorio was nine months pregnant when s…,0.34,0.112,0.888,0.0
121,@CBSNews,Mon Sep 17 12:40:39 +0000 2018,21,"President Trump is moving forward with plans to impose new tariffs on about $200 billion of Chinese imports, while… https://t.co/Sf2GQexCAS",-0.296,0.0,0.896,0.104
122,@CBSNews,Mon Sep 17 12:30:14 +0000 2018,22,"FATAL SHARK ATTACK:  26-year-old man attacked by shark on Cape Cod, video shows witnesses trying to help… https://t.co/dSAygCerL5",-0.9015,0.0,0.575,0.425
123,@CBSNews,Mon Sep 17 12:14:04 +0000 2018,23,RT @CBSThisMorning: Rescue helicopters are flying all over the Carolinas to help evacuate flood victims. The Coast Guard says it has rescue…,0.5719,0.22,0.696,0.084
124,@CBSNews,Mon Sep 17 12:09:57 +0000 2018,24,"Debra Katz, the lawyer of Brett Kavanaugh's accuser, says her client is ""willing to do what she needs to do"" before… https://t.co/XVVpvqfUed",0.0,0.0,1.0,0.0
125,@CBSNews,Mon Sep 17 11:50:35 +0000 2018,25,The House intelligence committee chairman says he plans to release the transcripts of dozens of private interviews… https://t.co/7TQMhYRk8x,0.4767,0.154,0.846,0.0
126,@CBSNews,Mon Sep 17 11:34:55 +0000 2018,26,Wyoming officials trapped and killed two grizzly bears they believe killed a hunting outfitter and injured his clie… https://t.co/bOep9o1Oin,-0.9442,0.0,0.481,0.519
127,@CBSNews,Mon Sep 17 11:27:46 +0000 2018,27,"RT @CBSThisMorning: Was your client drinking?

""My client had a beer...The men were stumbling drunk, one only needs to look at the writings…",-0.34,0.0,0.897,0.103
128,@CBSNews,Mon Sep 17 11:22:42 +0000 2018,28,"RT @CBSThisMorning: Would your client be willing to testify under oath? 

""My client will do whatever is necessary to make sure that the Se…",0.3182,0.091,0.909,0.0
129,@CBSNews,Mon Sep 17 11:19:26 +0000 2018,29,"Republicans ""intend to play hard ball"" with Brett Kavanaugh accuser, her lawyer says https://t.co/Lr7hrPiuei https://t.co/Hxw3779vCG",0.25,0.143,0.774,0.083
130,@CBSNews,Mon Sep 17 11:13:33 +0000 2018,30,RT @CBSThisMorning: Flood waters have cut off the coastal city of Wilmington from the rest of North Carolina. Wilmington's rainfall total f…,-0.2732,0.0,0.909,0.091
131,@CBSNews,Mon Sep 17 11:04:43 +0000 2018,31,"""Vicious crime"": An Australian state has offered $71,500  for information after sewing needles were found in strawb… https://t.co/RX5O1dadpl",-0.3612,0.0,0.872,0.128
132,@CBSNews,Mon Sep 17 10:50:30 +0000 2018,32,AP probe hints at Julian Assange's budding ties with Russia https://t.co/tYTMC0pJgR https://t.co/TJRiYYIiww,0.0,0.0,1.0,0.0
133,@CBSNews,Mon Sep 17 10:46:33 +0000 2018,33,RT @CBSThisMorning: Here's what we're working on this morning: https://t.co/ECcxNQDvoS,0.0,0.0,1.0,0.0
134,@CBSNews,Mon Sep 17 10:34:40 +0000 2018,34,Nevada's Jacky Rosen's new ad shows latest Democratic push for health care in 2018 https://t.co/riqwJSSKBy https://t.co/T91Cuuqp3W,0.4939,0.176,0.824,0.0
135,@CBSNews,Mon Sep 17 10:11:05 +0000 2018,35,Many savers missing out on the HSA's benefits for retirement https://t.co/3VzrunNa85 https://t.co/SEVhWLI9Rb,0.1027,0.176,0.676,0.149
